단어,예문,의미,뜻
ordinary,The meal was very ordinary,평범한,식사는 아주 평범했다.
envious,Everyone is so envious of her.,부러워하는,모든 사람들이 그녀를 몹시 부러워한다.
prospective,a prospective buyer,유망한,장래의 구매자
shake up,They shake up him.,충격을 주다,그들은 그에게 충격을 준다.
clog,The barrier causes a lot of cars to clog.,막다,장벽이 많은 차들을 막는다.
tricky,a tricky situation,까다로운,곤란한 상황
green light,The government has decided to give the green light to the plan.,"허가, 승인",정부가 그 계획을 승인하기로 결정했다.
alternate,alternate layers of fruit and cream,번갈아 나오는,과일과 크림이 번갈아 층층이 놓인 것
as long as,Stay as long as you like,~ 하는 한,있고 싶은 대로 오래 있어
file,to file for divorce,제기하다,이혼 소송을 제기하다
act up,The kids often act up.,말을 안 듣고 버릇없이 굴다,그 아이들은 종종 말을 듣지 않는다.
allegation,Several newspapers made allegations of corruption in the city's police department.,혐의,몇몇 신문에서 그 시 경찰청에 대해 부패 혐의를 제기했다.
unfounded,"unfounded allegations/rumors, etc",근거 없는,근거 없는 혐의/소문 등
assault,Both men were charged with assault.,폭행,그 남자들은 둘 다 폭행죄로 기소되었다.
courteous,a courteous young man,정중한,공손한 청년
remorse,,회,
unlucky,He was very unlucky not to win.,불행한,그는 대단히 불행하게도 이기지 못했다.
sequel,a sequel to the hit movie 'Sister Act',속편,히트한 영화 '시스터 액트'의 속편
administration,the administration of justice,집행,법 집행
pledge,Japan has pledged $100 million in humanitarian aid.,약속하다,일본이 인도주의적 지원금으로 1억 달러를 약속했다.
differ,I have to differ with you on that.,다르다,그 점에 대해서는 당신 의견에 동의할 수 없군요.
plight,the plight of the homeless,역경,노숙자들의 역경
tardy,The law is often tardy in reacting to changing attitudes.,늦은,법률은 흔히 변화하는 태도에 반응을 보이는 데 더디다.
suspend,The police officer was suspended while the complaint was investigated.,정학시키다,그 경찰관은 그 민원 사항이 조사되는 동안 정직되었다.
expel,He was expelled from the school.,퇴학시키다,그는 퇴학 처분을 받았다.
intense,intense cold,극심한,혹한
nullify,The new evidence nullifys the previous verdict.,무효화하다,새로운 증거는 이전 평결을 무효화한다.
overlap,They overlap each other.,겹치다,그들은 서로 겹쳐 있다.
sidetrack,I was sidetracked by other work to do.,정신없게 하다,난 다른 업무로 정신이 없었다.
identify,The audiences identify with the play's character.,발견하다,관객들은 그 연극의 등장인물이 된 듯한 기분이다.
lethal,a lethal attack,치명적인,치명적인 공격
take in,Fish take in oxygen through their gills.,흡수하다,물고기는 아가미를 통해 산소를 흡수한다.
ensue,What will ensue from this?,뒤따르다,이 다음에는 무슨 일이 일어날까?
daunting,Starting a new job can be a daunting prospect.,기세를 꺾는,새 직장을 시작하는 것은 두려운 생각이 들게 하는 일일 수 있다.
precaution,I'll keep the letter as a precaution.,예방조치,나는 예방 조치로 그 편지를 가지고 있겠다.
sterilize,to sterilize surgical instruments,소독하다,수술 도구들을 소독하다
dilute,You should dilute vinegar when you drink it.,희석시키다,식초를 음료로 마실 때는 희석시켜야 한다.
solution,The solution deliquefied and became invisible.,용액,용액은 기화하여 보이지 않게 되었다.
bounce back,They need to bounce back after this loss.,회복하다,그 팀은 이번 패배 이후로 원래 상태로 다시 돌아와야 해.
recoup,We hope to recoup our initial investment in the first year.,되찾다,우리는 첫 해에 초기 투자금을 회수하기를 바란다.
afford,We cannot afford to ignore this warning.,~하면 안 되다,우리는 이 경고를 무시하면 안 된다.
apprehend,The police have failed to apprehend him.,체포하다,경찰은 그를 검거하는 데 실패했다.
evade,He managed to evade capture.,피하다,그는 간신히 붙잡히는 것을 모면했다.
accomplice,He became an unwitting accomplice in the crime.,공범,그는 자신도 모르게 그 범행의 공범자가 되었다.
intricate,an intricate network of loyalties and relationships,복잡한,복잡하게 뒤얽힌 충성도와 관계들
enforcement,They were charged with obstructing police enforcement.,집행,그들은 경찰 업무 수행 방해로 고소됐다.
tactic,It's time to try a change of tactic.,전략,작전에 변화를 시도해야 할 때이다.
hassle,He copped all the hassle after the accident.,번거로움,그는 사고 후 모든 귀찮은 일을 다 겪었다.
electron,"When the number of electrons in a transition metal atom is less than 18, it is called electron deficiency.",전자,"전이 금속 원자의 전자 수가 18개 미만일 때, 이는 전자 결핍이라 불린다."
degenerate matter,"Neutron stars are composed of degenerate matter, which is incredibly dense and unlike anything found on Earth.",축퇴 물질,"중성자별은 엄청나게 밀도가 높은 퇴화 물질로 이루어져 있으며, 이는 지구에서는 찾아볼 수 없는 물질이다"
dense,The area was covered in dense jungle.,밀도가 높은,그 지역은 울창한 밀림으로 덮여 있었다.
fall through,When property values fall through the floor that is what ruins people's lives.,~을 관통하여 떨어지다,재산 가치가 빠질 때 그것이 사람들의 삶을 폐허로 만드는 것이다.
in essence,They are little different in essence.,본질적으로,실질에 있어서는 큰 차이가 없다.
herder,The sheep herder left his chalet early each morning.,"양치기, 목부",양치기는 매일 아침 일찍 오두막을 나섰다.
monastery,He is one of the novices at the monastery.,수도원,그는 수도원에서 막 수련을 시작한 수사 중 한 사람이다.
holy man,"He's a holy man, a humble man.",성자,그는 경건하며 온유한 남자이다.
enchanting,She smiled an enchanting smile.,매혹적인,그녀는 매혹적인 미소를 지었다.
sordid,people living in sordid conditions,지저분한,지저분한 환경에서 생활하는 사람들
billow,"It was not extremely windy, but the smoke did billow.",피어 오르다,"바람이 그렇게 많이 부는 편은 아니었으나, 연기는 피어오르고 있었다."
wind up,He is about to quickly wind up his talk.,마무리짓다,그는 이야기를 서둘러 끝내려고 한다.
officiate,officiate as a chairman,공식적으로 수행하다,의장으로서 사회하다
nest,The owl seems to have deserted its nest.,둥지,올빼미가 둥지를 떠난 것 같다.
drive off,The defenders drive off each attack.,쫓아내다,수비수들은 공격을 매번 막아낸다.
twist,The story has taken another twist.,전환,그 이야기는 또 한 번의 전환을 보인다.
dwelling,The present position of the house coincides with that of an earlier dwelling.,거처,그 집의 현 위치는 이전의 집이 있던 위치와 같은 장소이다.
offspring,The cow didn't let people come close to her offspring.,자식,그 암소는 사람들이 자기 새끼에게 가까이 가지 못하게 했다.
sire,"Sire, I served you well.",주군,"주군, 충성을 다 했잖습니까"
descendent,He was the first descendent of Genghis Khan in the United States!,후손,그는 미국에 있는 징기스칸의 첫 후손이다!
cite,They don't cite outrageous statistical trickery.,언급하다,그들은 터무니없는 통계적 속임수는 인용하지 않는다.
rally,a mass rally in support of the strike,시위운동,파업을 지지하는 대중 집회
turnout,This year's festival attracted a record turnout.,참가자 수,올해 축제는 기록적인 수의 참가자를 끌어모았다.
pop,flat pop and flat beer,탄산수,김빠진 탄산수와 김빠진 맥주
antidepressant,"To prevent antidepressant discontinuation syndrome, a gradual dose reduction might be needed.",항우울제,항우울제 중단 증후군을 예방하려면 약물을 점진적으로 줄여나가야 한다.
prescribe,to prescribe a course of antibiotics,처방하다,일련의 항생제 치료를 처방하다
efficacy,They surveyed people about goal-related self-efficacy.,효험,그들이 목표와 관련된 자기 효능감에 대해 사람들을 조사했다.
skyscraper,"Recently, the world's tallest skyscraper was completed.",고층 건물,최근에 세계 최고층의 빌딩이 완성되었다.
ticklish,Don't poke me! It's ticklish.,간지럼 타는,콕콕 찌르지 마! 간지러워.
plastic,Do they take plastic?,신용카드,그들이 신용카드를 받나요?
bound for,Is this bus bound for downtown?,~행의,이 버스는 시내 중심가로 갑니까?
get in line,You have to get in line at check-in.,줄을 서다,탑승 수속 하는 데서 줄을 서야 합니다.
stay in,to stay in bed,나가지 않다,계속 침대 안에 있다
address,We must address this problem immediately,"다루다, 제기하다",우리는 더 심각해지기 전에 이 문제를 즉각 해결해야 한다.
suppress,She was unable to suppress her anger.,숨기다,그녀는 화를 참을 수가 없었다.
allay,It was hard to allay his anger.,진정시키다,그의 화를 누그러뜨리기가 힘들었다.
up to par,I don't feel up to par.,수준에 달하다,몸 상태가 평소 같지 않아요.
incompetence,He was dismissed for incompetence,무능,그는 무능을 이유로 해고되었다.
chip in,Let's chip in some money for snack.,각출하다,간식 사먹게 돈 조금씩 모아보자.
recollect,I recollect him saying that it was dangerous.,기억해 내다,나는 그가 그것이 위험하다고 했던 것이 기억난다.
tad,Could you turn the sound down just a tad?,조금,소리를 조금만 낮춰 주시겠어요?
figure,a leading figure in the music industry,인물,음악 산업에서 주도적인 인물
