word,meaning,example,example_meaning
Assess,"평가하다, 사정하다",“The teacher will _________ your performance based on the presentation.”,선생님은 발표를 기준으로 당신의 성과를 평가할 것입니다.
Emphasize,강조하다,“The report _________ the importance of regular exercise.”,그 보고서는 규칙적인 운동의 중요성을 강조합니다.
Implement,"시행하다, 실행하다",“The government decided to _________ new regulations to reduce pollution.”,정부는 오염을 줄이기 위해 새로운 규제를 시행하기로 결정했습니다.
Generate,"발생시키다, 만들어내다",“The new marketing strategy _________ a lot of interest among customers.”,새로운 마케팅 전략이 고객들 사이에서 큰 관심을 불러일으켰습니다.
Maintain,"유지하다, 지속하다",“It is important to _________ a balanced diet for good health.”,건강을 위해 균형 잡힌 식단을 유지하는 것이 중요합니다.
Enhance,"향상시키다, 강화하다",“The new software will _________ the performance of the computer.”,새로운 소프트웨어가 컴퓨터 성능을 향상시킬 것입니다.
Facilitate,"촉진하다, 용이하게 하다",“The new technology will _________ communication between team members.”,새로운 기술이 팀원들 간의 소통을 촉진할 것입니다.
Perceive,"인지하다, 감지하다",“People tend to _________ bright colors as more energetic.”,사람들은 밝은 색상을 더 에너제틱하게 인식하는 경향이 있습니다.
Distinguish,"구별하다, 식별하다",“It is difficult to _________ between the original and the fake.”,원본과 가짜를 구별하는 것은 어렵습니다.
Alleviate,"완화하다, 경감하다",“This medicine will help _________ the symptoms of the flu.”,이 약은 독감 증상을 완화하는 데 도움이 될 것입니다.
Compensate,"보상하다, 보완하다",“The company will _________ employees for their extra work hours.”,회사는 직원들의 초과 근무 시간에 대해 보상할 것입니다.
Demonstrate,"증명하다, 시연하다, 설명하다",“The experiment clearly _________ the effect of temperature on the reaction.”,그 실험은 온도가 반응에 미치는 영향을 분명히 증명했습니다.
Prohibit,금지하다,“Smoking is strictly _________ in this building.”,이 건물에서는 흡연이 엄격히 금지되어 있습니다.
Reinforce,"강화하다, 보강하다",“The manager’s speech _________ the importance of teamwork.”,관리자의 연설은 팀워크의 중요성을 더욱 강조했습니다.
Anticipate,"예상하다, 기대하다",“We _________ that the demand for electric cars will increase.”,우리는 전기차에 대한 수요가 증가할 것으로 예상하고 있습니다.
Manipulate,"조작하다, 다루다",“The media can _________ public opinion through biased reports.”,언론은 편향된 보도를 통해 대중의 의견을 조작할 수 있습니다.
Justify,정당화하다,“The manager tried to _________ his decision to cut costs.”,매니저는 비용 절감 결정을 정당화하려고 노력했습니다.
Disrupt,"방해하다, 혼란에 빠뜨리다",“The sudden noise _________ the meeting.”,갑작스러운 소음이 회의를 방해했습니다.
Acknowledge,"인정하다, 받아들이다",“He reluctantly _________ his mistake.”,그는 마지못해 자신의 실수를 인정했습니다.
Thrive,"번성하다, 잘 자라다",Plants _________ in warm and sunny conditions.,식물은 따뜻하고 햇볕이 잘 드는 조건에서 번성합니다.
Obstacle,"장애물, 방해물",His fear of public speaking was an _________ to his success.,대중 연설에 대한 그의 두려움은 그의 성공에 장애물이었다.
Eager,"열망하는, 간절히 원하는",She was _________ to start the project.,그녀는 프로젝트를 시작하기를 간절히 원했다.
Persevere,"인내하다, 꾸준히 하다",He _________ through difficult times and achieved his goals.,그는 어려운시기를 인내하고 목표를 달성했습니다.
Ambiguous,애매모호한,"The question was _________, leading to various interpretations.",문제는 모호했으며 다양한 해석으로 이어졌습니다.
Assert,"주장하다, 단언하다",She _________ her rights as a citizen.,그녀는 시민으로서의 권리를 주장했다.
Eliminate,제거하다,The new policy aims to _________ poverty.,새로운 정책은 빈곤을 제거하는 것을 목표로합니다.
Intriguing,"흥미로운, 매혹적인",The book's plot was _________ and kept readers engaged.,이 책의 음모는 흥미로 웠고 독자들을 계속 참여시켰다.
Abundant,풍부한,The region has _________ natural resources.,이 지역에는 풍부한 천연 자원이 있습니다.
Reluctant,"꺼리는, 주저하는",He was _________ to speak in front of a large crowd.,그는 큰 군중 앞에서 말하기를 꺼려했습니다.
Cautious,"조심스러운, 신중한",He was _________ about investing in the stock market.,그는 주식 시장에 투자하는 것에주의를 기울였습니다.
Comprehend,이해하다,She couldn't fully _________ the meaning of the text.,그녀는 텍스트의 의미를 완전히 이해할 수 없었습니다.
Dispute,"논쟁하다, 반박하다",They _________ the results of the experiment.,그들은 실험 결과에 이의를 제기했다.
Endure,"견디다, 인내하다",He _________ the pain throughout the treatment.,그는 치료 내내 통증을 견뎌냈습니다.
Evade,"피하다, 회피하다",He tried to _________ paying taxes.,그는 세금 납부를 피하려고 노력했다.
Fluctuate,"변동하다, 오르내리다",The temperature _________ between hot and cold.,온도는 뜨겁고 차가운 사이에 변동했습니다.
Impose,"부과하다, 강요하다",The government _________ new taxes on luxury goods.,정부는 고급 상품에 대한 새로운 세금을 부과했다.
Modify,"수정하다, 변경하다",He modified the plan to meet the new requirements.,그는 새로운 요구 사항을 충족하기위한 계획을 수정했습니다.
Prohibit,금지하다,The law _________ smoking in public areas.,법은 공공 장소에서 흡연을 금지합니다.
Anticipate,"예상하다, 기대하다",They eagerly _________ the arrival of the new product.,그들은 신제품의 도착을 간절히 기대했습니다.
Controversial,논란이 많은,The decision to build the dam was highly _________.,댐 건설 결정은 논란의 여지가 많았습니다.
Consequence,"결과, 영향",His actions had serious _________.,그의 행동은 심각한 결과를 가져 왔습니다.
Deceive,"속이다, 기만하다",He tried to _________ his parents about his grades.,그는 그의 성적에 대해 부모를 속이려고 노력했다.
Ethical,윤리적인,It's important to consider the _________ implications of your decisions.,귀하의 결정의 윤리적 영향을 고려하는 것이 중요합니다.
Fierce,"사나운, 격렬한",The competition was _________ among the participants.,참가자들 사이에서 경쟁은 치열했습니다.
Generate,"생성하다, 만들어내다",Solar panels _________ electricity from sunlight.,태양 전지판은 햇빛으로 인해 전기를 생성합니다.
Humble,"겸손한, 소박한","Despite his success, he remained _________.",그의 성공에도 불구하고 그는 겸손하게 남아있었습니다.
Jeopardize,위태롭게 하다,His decision could _________ the project’s success.,그의 결정은 프로젝트의 성공을 위태롭게 할 수 있습니다.
