word,meaning
cultivate,"함양, 배양하다, 기르다"
coincide,"일치하다, 동시에 일어나다"
timely,시기적절한
artfully,교묘하게
vulnerability,취약성
recolonize,다시 대량 서식하다
at best,기껏해야
modify,수정하다
condition,조건
exclaim,"외치다, 소리치다"
entitlement,"재정지원, 혜택"
tracing,"모사, 투사"
disquieting,"불안한, 불안하게 하는"
attain,얻다
accordance with,"a에 따라, a 부합되게"
return,수익
with,"맞물리다, 동시에 일어나다"
sound,타당한
occasional,이따금
cate,유포하다
companionship,동료 관계
prescribe,"규정하다, 지시하다, 처방하다"
reflection,성찰
exclusive,독점적인
scatter,흩어지게 하다
circulate,"배포하다, 돌리다"
accommodations,숙박 시설
famine,기근
depart,"벗어나다, 출발하다"
residual,"잔여의, 나머지의"
inquire,문의하다
enterprising,진취적인
spatial,공간의
institutional,"제도적인, 제도상의"
acquisition,"습득, 획득"
superior,"뛰어난, 우수한, 우월한"
draw,"이끌다, 당기다"
taxation,과세
hard-nosed,"엄격한, 냉철한"
multiply,"배가하다, 늘리다"
be accustomed to,익숙하다
outstanding,뛰어난
reproduce,재현하다
informed,"사실 이해에 입각한, 정보에 근거한"
ongoing,지속적인
pretend,가장하다
document,기록하다
renewable,재생 가능한
singular,기묘한
operant,조작에 작용하는
utilize,활용하다
novel,"새로운, 참신한"
flawless,나무랄 데 없는
transit,운송
livelihood,생계
in proportion to,a에 비례하여
relevant,관련 있는
agency,주체성
implement,시행하다
efficacy,효율
registration,등록
determination,결단력
anticipate,예측하다
crucially,중요하게
address,바로 해결하다
snap,성급한
wicked,사악한
submit,"복종하다, 제출하다"
reflective,성찰하는
conception,구상
establish,"확고히 하다, 설립하다"
literally,말 그대로
localized,"국지적인, 국부적인"
showcase,뽐내다
feasible,실현 가능한
thereby,그렇게 함으로써
subject,영향받기 쉬운
altogether,완전히
intervene,개입하다
uneven,고르지 않은
conduct,"특정한 활동을 하다, 전도하다"
accommodate,수용하다
be devoted to,a에 전념하다
unprecedented,전례가 없는
personnel,"인력, 직원"
with regard to,a와 관련하여
revival,"회복, 부흥"
aboard,"승선하여, 탑승하여"
expand,확장하다
predisposition,성향
stick out of,밖으로 삐져나오다
quarter,"구역, 지구"
facilitate,용이하게 하다
beam,활짝 웃다
consistent,일관된
saving grace,"장점, 미덕"
enhance,강화하다
overseer,감독관
due,마감일이 된
competently,유능하게
object to,a에 반대하다
subject matter,주제
artificial,인공의
entirely,전적으로
optional,선택 가능한
desirable,바람직한
counter,대응하다
deaf,귀를 기울이지 않는
rural,시골의
extent,정도
migrate,이주하다
impartial,공정한
distinction,차이
intimate,친밀한
conceive,상상하다
compression,압축
public figure,공인
discriminate,"구별하다, 차별하다"
delicate,취약한
override,무시하다
disincentive,저해 요소
extend,범위가 이르다
equip with,b a를 갖추게 하다
collective,집단적인
fine,"좋은, 질 높은"
discourage,못하게 하다
deliberative,신중한
submission,출품작
coalesce,결합하다
overlap,겹치다
code,관례
mechanism,메커니즘
transition,변천
stockman,목축업자
uniformity,통일성
crucial,매우 중요한
fascinate,매료시키다
referential,지시적인
partial,부분적인
question,논의되다
extraordinary,뛰어난
violence,폭력
numerous,수많은
at will,마음대로
go about,시작하다
unknowingly,자신도 모르게
thrilled,매우 기쁜
original,독창적인
categorize,분류하다
arrangement,배치
sympathy,공감
accumulation,축적
found,설립하다
clarity,명료함
as a matter of course,당연히
installation,설치
passionately,열렬하게
pick out,고르다
meter,박자
confine,국한하다
disciplinary,율법의
enrich,풍부하게 하다
template,본보기
appreciate,감상하다
identification,식별
loyalty,충성
indication,지표
no-nonsense,현실적인
think through,충분히 생각하다
manipulate,조작하다
inhibit,억제하다
halo,후광
seek out,찾아내다
temporal,시간의
discharge,방출하다
cross-train,두 가지 이상의 일이 가능하도록 훈련시키다
